iter	Logloss
0	0.6773956781
1	0.6595887114
2	0.6421285171
3	0.6291218572
4	0.6180650542
5	0.6038605596
6	0.5911153045
7	0.57836656
8	0.5673381837
9	0.5559692243
10	0.5467287316
11	0.5319331985
12	0.5248355661
13	0.5138888612
14	0.5062701523
15	0.4962794844
16	0.4850565256
17	0.4784984239
18	0.4701769596
19	0.46031242
20	0.4544599618
21	0.4470083861
22	0.4394779581
23	0.4289939325
24	0.4222420682
25	0.4147188561
26	0.4074734641
27	0.4005205024
28	0.3941155049
29	0.3869652793
30	0.3818730333
31	0.3752662387
32	0.3682727386
33	0.3614883635
34	0.3565169162
35	0.3506488985
36	0.3461220376
37	0.3412958543
38	0.3356487882
39	0.3303208066
40	0.3263710831
41	0.3215370124
42	0.3161750529
43	0.3116857654
44	0.3069101836
45	0.3015807971
46	0.2979274911
47	0.2937717359
48	0.2895430993
49	0.2854102085
50	0.2804098043
51	0.2759074973
52	0.2728898608
53	0.2683296907
54	0.2646199016
55	0.2605375619
56	0.257657461
57	0.2545198629
58	0.2510698535
59	0.2478452549
60	0.2443019469
61	0.2421661118
62	0.2393065427
63	0.2356177459
64	0.232114063
65	0.2301214283
66	0.2272874538
67	0.224552621
68	0.2223890692
69	0.220253896
70	0.2178105272
71	0.2148967913
72	0.212523525
73	0.2108513895
74	0.2090591015
75	0.2064058915
76	0.2040884913
77	0.2007660734
78	0.1989029853
79	0.1964798603
80	0.1953333837
81	0.1921175003
82	0.1895581781
83	0.1879946266
84	0.185925339
85	0.1839324377
86	0.181979056
87	0.1804064386
88	0.178456738
89	0.1768208319
90	0.1758074086
91	0.1738416897
92	0.1720522014
93	0.1704859603
94	0.1682350439
95	0.1660911068
96	0.1645049801
97	0.1629860478
98	0.160657089
99	0.1588906502
100	0.1569683252
101	0.1556483231
102	0.1534154963
103	0.1519466162
104	0.1497618892
105	0.1485555062
106	0.1470061981
107	0.1455130269
108	0.1436715664
109	0.1424384623
110	0.1411919646
111	0.1394496621
112	0.1379469914
113	0.1367397671
114	0.1352907805
115	0.134179813
116	0.1328246887
117	0.131759717
118	0.130239293
119	0.1294741672
120	0.1282751895
121	0.1270213317
122	0.1257327673
123	0.1243978216
124	0.1230266794
125	0.1215354742
126	0.1202538379
127	0.1194241126
128	0.1180684831
129	0.1168984687
130	0.1155654519
131	0.1144748588
132	0.1133638986
133	0.1120184239
134	0.111106517
135	0.1104530087
136	0.1091374498
137	0.1083339722
138	0.1075007341
139	0.1066453383
140	0.1059141928
141	0.1052277115
142	0.1045873289
143	0.1035531512
144	0.1025869188
145	0.1018387612
146	0.1005925655
147	0.09950827928
148	0.09856021862
149	0.0974352937
150	0.09670776358
151	0.09610965646
152	0.09527065044
153	0.09424692316
154	0.09337779642
155	0.09257895091
156	0.0917272693
157	0.09103805455
158	0.09061755563
159	0.08993360064
160	0.08935096052
161	0.08865759396
162	0.08780310949
163	0.08700800059
164	0.08658411013
165	0.08603716341
166	0.08517466005
167	0.08441395393
168	0.0839652486
169	0.08342625928
170	0.08283938432
171	0.0822649055
172	0.08180834546
173	0.08088388837
174	0.0803847211
175	0.07980677158
176	0.07937374339
177	0.07870789765
178	0.07808568342
179	0.07733820338
180	0.07682575721
181	0.07623924786
182	0.07580709354
183	0.07507034373
184	0.07451868385
185	0.07411303456
186	0.07343848997
187	0.07298781355
188	0.07247278835
189	0.07209853222
190	0.07178529482
191	0.07121193153
192	0.07074317026
193	0.0701619805
194	0.06961384371
195	0.06925406967
196	0.06864825362
197	0.06816120823
198	0.06770592757
199	0.06714099381
