iter	Logloss
0	0.6770781058
1	0.6589075018
2	0.6407282794
3	0.6228211721
4	0.6073002285
5	0.5959523519
6	0.5808572769
7	0.5699890984
8	0.5568316071
9	0.542804824
10	0.5304271204
11	0.5181933862
12	0.5068326879
13	0.4952100824
14	0.4842246727
15	0.475499471
16	0.4659619155
17	0.4567360348
18	0.4474564305
19	0.438146026
20	0.4306680185
21	0.4219243791
22	0.4154793775
23	0.4074063831
24	0.4022935938
25	0.3981836813
26	0.3968453584
27	0.3906547405
28	0.3845577593
29	0.3801856571
30	0.3744757617
31	0.3718522037
32	0.3662117146
33	0.3634928597
34	0.3595408334
35	0.3544395941
36	0.3492348989
37	0.3446986587
38	0.3403112623
39	0.3354438146
40	0.3303250913
41	0.3262081499
42	0.3220618919
43	0.3173101213
44	0.3130120171
45	0.3095885383
46	0.3065915638
47	0.3032378797
48	0.3014311261
49	0.2986443837
50	0.2964822275
51	0.2932228512
52	0.2901013692
53	0.2875602157
54	0.2841926504
55	0.2817748564
56	0.2789923703
57	0.2765968641
58	0.2726630282
59	0.2700852995
60	0.268191161
61	0.267015051
62	0.2644241828
63	0.2615778535
64	0.259747152
65	0.2575132229
66	0.2551071732
67	0.2547246792
68	0.2536867283
69	0.2511047434
70	0.2489050759
71	0.2460137473
72	0.2436170401
73	0.240960598
74	0.2390554216
75	0.2370312302
76	0.2355869788
77	0.2347188349
78	0.2328196455
79	0.2315089438
80	0.2293998224
81	0.2277978261
82	0.2260014923
83	0.2246905256
84	0.2230216132
85	0.2211420095
86	0.2195964566
87	0.2182539481
88	0.2167617833
89	0.2146898199
90	0.213346446
91	0.2122909581
92	0.2109829585
93	0.2087054782
94	0.2077094184
95	0.2061896854
96	0.2049568494
97	0.2041136247
98	0.2030083338
99	0.2015572301
100	0.2000828849
101	0.1984665129
102	0.1971989738
103	0.1960552357
104	0.195149457
105	0.1931473414
106	0.1923277113
107	0.1914487062
108	0.1906939612
109	0.1893164317
110	0.1885086519
111	0.1872040077
112	0.1860545123
113	0.1841522146
114	0.1834713618
115	0.1819632495
116	0.1807116403
117	0.1798051198
118	0.1788611942
119	0.1779842377
120	0.1767592607
121	0.1758278034
122	0.1749231374
123	0.1732812281
124	0.1721252159
125	0.1705793098
126	0.1699045146
127	0.168771002
128	0.1676238378
129	0.1668012407
130	0.1659437815
131	0.1648414047
132	0.1638931698
133	0.1633100333
134	0.1619800815
135	0.1608363258
136	0.1601129814
137	0.1592999917
138	0.1583739033
139	0.1574009083
140	0.1567724722
141	0.15560491
142	0.1543098732
143	0.1535704401
144	0.1522885252
145	0.1514279224
146	0.1507654013
147	0.1494904977
148	0.1489688909
149	0.148223665
150	0.1470509635
151	0.1460961677
152	0.1455868174
153	0.1448012281
154	0.1442042104
155	0.1430309967
156	0.1427631113
157	0.1418194771
158	0.1413384102
159	0.1407210032
160	0.140215132
161	0.1391525622
162	0.138251808
163	0.1377027918
164	0.1362998221
165	0.1355590114
166	0.135303568
167	0.1341998665
168	0.1334604599
169	0.1326998075
170	0.1318572362
171	0.1311536188
172	0.130477711
173	0.1300513126
174	0.1293293635
175	0.1284717366
176	0.1278021512
177	0.1273525026
178	0.1269282677
179	0.1264906018
180	0.1254193871
181	0.1249445633
182	0.1242980427
183	0.1238481998
184	0.1236956561
185	0.1234404599
186	0.1228627011
187	0.1224282318
188	0.1222263884
189	0.1212594421
190	0.120486595
191	0.1200692919
192	0.1195736726
193	0.1183940923
194	0.1179858932
195	0.1173104269
196	0.1165031857
197	0.1159649778
198	0.1155601784
199	0.1149765121
