iter	Logloss
0	0.6724543418
1	0.653665358
2	0.6372099846
3	0.622773878
4	0.6078649952
5	0.5917019998
6	0.5767162077
7	0.5647795893
8	0.5538702934
9	0.5434417109
10	0.5293703387
11	0.5189375724
12	0.5075635295
13	0.4970749886
14	0.4883269956
15	0.4734470614
16	0.4618716394
17	0.4505140858
18	0.4421138456
19	0.4357784948
20	0.4283357436
21	0.4206970892
22	0.4153692799
23	0.4061318674
24	0.4001406393
25	0.3931518062
26	0.3877973249
27	0.3808505458
28	0.3737569932
29	0.3664021031
30	0.362132657
31	0.3534247798
32	0.345494055
33	0.3392958487
34	0.3351772678
35	0.3307885816
36	0.3262774252
37	0.3215752571
38	0.3192228194
39	0.3152034821
40	0.3074874263
41	0.3031337492
42	0.2993492003
43	0.2945206857
44	0.291529194
45	0.288015058
46	0.283842456
47	0.2809012936
48	0.2764534181
49	0.2724343577
50	0.2677496941
51	0.2643060377
52	0.2609991258
53	0.2578284356
54	0.2557150472
55	0.2532838083
56	0.2507514492
57	0.2475581938
58	0.2441056467
59	0.2418776789
60	0.2397542923
61	0.2379369428
62	0.2348366553
63	0.2327244051
64	0.2306111551
65	0.2270719159
66	0.2254624982
67	0.2227296829
68	0.2199803937
69	0.2184636208
70	0.2157524017
71	0.2144439144
72	0.2117415705
73	0.2098017816
74	0.2074704324
75	0.205409896
76	0.2038216129
77	0.2018052224
78	0.1990116642
79	0.1965266043
80	0.1949828671
81	0.1938978164
82	0.191896131
83	0.1894717678
84	0.1874827262
85	0.1858006447
86	0.1831083144
87	0.181695892
88	0.1801166227
89	0.1781555914
90	0.1766202527
91	0.174229222
92	0.1720685344
93	0.1705433784
94	0.1694479604
95	0.1676145677
96	0.1655437408
97	0.1638119759
98	0.1624057985
99	0.1615313868
100	0.1601204411
101	0.1587673772
102	0.1573770277
103	0.1557342314
104	0.1544262671
105	0.1533441236
106	0.1523393662
107	0.1515415561
108	0.150433848
109	0.1494752515
110	0.1482624239
111	0.1468292667
112	0.1461332383
113	0.1451675507
114	0.1433476325
115	0.1428909456
116	0.141970696
117	0.1409474342
118	0.1397019356
119	0.1391497735
120	0.1377561938
121	0.1370892371
122	0.1359553491
123	0.1352038383
124	0.1341629644
125	0.1328475091
126	0.131704515
127	0.130899214
128	0.1295183859
129	0.1285637886
130	0.1270399478
131	0.126291898
132	0.1255303044
133	0.1242636327
134	0.1234728444
135	0.1225580092
136	0.1213152716
137	0.1204759613
138	0.1193849502
139	0.1189018296
140	0.1180420306
141	0.1169258471
142	0.1160908976
143	0.1153646746
144	0.1142371701
145	0.1134895971
146	0.1125703012
147	0.1118707811
148	0.1110329782
149	0.110610039
150	0.1102129183
151	0.1095633968
152	0.1093967038
153	0.1087504971
154	0.1078828996
155	0.1073145174
156	0.1065524086
157	0.105428265
158	0.1049694861
159	0.1040924288
160	0.1034241184
161	0.1024674523
162	0.1018571315
163	0.1013456083
164	0.1008372768
165	0.1002999121
166	0.0997525492
167	0.09895113976
168	0.09828689021
169	0.0978531376
170	0.09708187657
171	0.09620328872
172	0.09578552554
173	0.09541733034
174	0.09465392943
175	0.09428184263
176	0.09353296218
177	0.09309383362
178	0.09263083243
179	0.09207152551
180	0.09158229828
181	0.09135211668
182	0.0909658632
183	0.09047089854
184	0.089769448
185	0.08945445091
186	0.08887610897
187	0.0884551925
188	0.0874666014
189	0.08686963974
190	0.08651696482
191	0.08587872597
192	0.08548861934
193	0.08519515684
194	0.0847015227
195	0.08420046683
196	0.08378378807
197	0.08311748505
198	0.08250015013
199	0.08200579305
