iter	Logloss
0	0.6612459266
1	0.6332720881
2	0.6041102755
3	0.5838043655
4	0.5594694165
5	0.5375256746
6	0.5176391602
7	0.4980322796
8	0.4813190405
9	0.4666792275
10	0.4508093958
11	0.4376484415
12	0.4246533159
13	0.4121582474
14	0.4009725045
15	0.3898257933
16	0.3809217647
17	0.3706021793
18	0.3622824075
19	0.3535805301
20	0.3444251461
21	0.3357235452
22	0.3275351041
23	0.3212307363
24	0.3142943728
25	0.3083818132
26	0.3016680565
27	0.2960553929
28	0.2923033341
29	0.2874723241
30	0.2819655598
31	0.2799528371
32	0.2747692163
33	0.272116896
34	0.2678454855
35	0.2648035685
36	0.2627100737
37	0.2607284214
38	0.2577140919
39	0.2555314216
40	0.2519180187
41	0.2502482594
42	0.2485955556
43	0.2468660327
44	0.2437909168
45	0.2420932936
46	0.2392923936
47	0.2369384489
48	0.2349855174
49	0.2330377828
50	0.230139912
51	0.2281000441
52	0.2263188846
53	0.2258402507
54	0.223811813
55	0.2225851114
56	0.220995364
57	0.2201529517
58	0.2175871531
59	0.2150631089
60	0.2143188145
61	0.2124996738
62	0.2115023516
63	0.2098069813
64	0.2076835356
65	0.2063390759
66	0.204847944
67	0.2030526175
68	0.2023943473
69	0.201017518
70	0.2003355856
71	0.1995954652
72	0.1980242107
73	0.1962494505
74	0.1948046477
75	0.1937880447
76	0.1925262506
77	0.1915036906
78	0.1897222547
79	0.1888864213
80	0.1882730843
81	0.1874585221
82	0.1863908077
83	0.1851490408
84	0.1840700205
85	0.1832348367
86	0.18192435
87	0.1805248813
88	0.1800217974
89	0.1790001358
90	0.1780486452
91	0.1780353629
92	0.1772750357
93	0.1758872599
94	0.1738766656
95	0.1732229288
96	0.1723261709
97	0.1710617784
98	0.16935202
99	0.1688267805
100	0.1681781852
101	0.1676339827
102	0.1668817548
103	0.1664723935
104	0.1655214835
105	0.164183589
106	0.1630541207
107	0.162263732
108	0.1614487828
109	0.1613756954
110	0.1609600592
111	0.1593765452
112	0.158797582
113	0.1583056243
114	0.1577717049
115	0.1567431187
116	0.1560639368
117	0.1551909101
118	0.1541379846
119	0.1537394869
120	0.1530314598
121	0.1524182748
122	0.1518406246
123	0.1512475221
124	0.1500322093
125	0.1495469964
126	0.1484682664
127	0.1473752036
128	0.1461636225
129	0.1457218225
130	0.1450723842
131	0.1447631173
132	0.1436584445
133	0.1430638908
134	0.1415105073
135	0.1409693317
136	0.1408726513
137	0.1404064565
138	0.139128063
139	0.1383700716
140	0.1376335448
141	0.1367186118
142	0.1361062423
143	0.1357923729
144	0.135494094
145	0.1348620152
146	0.1338752802
147	0.1333304557
148	0.1326160431
149	0.1316898457
150	0.1312808438
151	0.1306671751
152	0.1301262068
153	0.1289757024
154	0.1287893351
155	0.1279599148
156	0.1274151457
157	0.1268811848
158	0.1265873149
159	0.1258619557
160	0.124739951
161	0.1239187821
162	0.1229509271
163	0.1221540285
164	0.1213823816
165	0.121070074
166	0.1208313375
167	0.1203864277
168	0.1198847398
169	0.1194475146
170	0.1189070992
171	0.1181418654
172	0.1176691608
173	0.1169295933
174	0.1165614474
175	0.1157227323
176	0.1155379337
177	0.115437169
178	0.1152148938
179	0.1147974539
180	0.1142321324
181	0.1139487806
182	0.1136011317
183	0.1128637065
184	0.1123655844
185	0.111883509
186	0.1108985155
187	0.1103198079
188	0.1097523164
189	0.109397826
190	0.1084020518
191	0.1078097717
192	0.1071403268
193	0.1067087616
194	0.1060865305
195	0.1054500773
196	0.1048101342
197	0.1039592218
198	0.1033963328
199	0.103321186
